date_reservation, date_accommodation_begin, nights, city, hotel_name, room_type, number_of_rooms, total_price, cancellation7, cancellation2
2024-06-05, 2024-07-25, 12, Londra, The Savoy, executive, 1, 33480, 0.3, 0.8
2024-05-31, 2024-07-23, 3, Kuala Lumpur, Shangri-La Hotel Kuala Lumpur, deluxe, 1, 14220, 0.3, 0.5
2024-06-04, 2024-07-26, 2, Bali, Hotel Terrace at Kuta, large, 14, 25480, 0.30000000000000004, 0.30000000000000004
2024-06-11, 2024-08-01, 8, Antalya, Akra Barut, standard, 15, 406800, 0.3, 1
2024-06-10, 2024-08-04, 3, Ankara, Radisson Blu Ankara, executive, 1, 7950, 0.35000000000000003, 0.7
2024-06-06, 2024-07-26, 1, Pekin, Rosewood Beijing, deluxe, 2, 9140, 0.4, 1
2024-05-23, 2024-07-16, 7, Amsterdam, Hotel Espresso, deluxe, 1, 6510, 0.2, 0.75
2024-05-17, 2024-07-11, 1, Johannesburg, The Michelangelo Hotel, large, 5, 17800, 0.4, 0.5
2024-06-13, 2024-08-06, 4, Antalya, SunAnatolia Otel, large, 10, 93600, 0.2, 0.30000000000000004
2024-05-27, 2024-07-21, 5, İzmir, Met Boutique Hotel, executive, 1, 6600, 0.2, 0.45000000000000007
2024-05-28, 2024-07-20, 1, Şanghay, Mandarin Oriental Pudong, standard, 4, 11880, 0.3, 0.5
2024-06-17, 2024-08-09, 12, Konya, Anemon Konya Hotel, large, 4, 67680, 0.25, 0.4
2024-05-26, 2024-07-15, 5, Dubai, Burj Al Arab, standard, 8, 106000, 0.25, 0.8
2024-05-29, 2024-07-20, 15, Rio de Janeiro, Hotel Atlantico Business Centro, standard, 10, 151500, 0.25, 0.6000000000000001
2024-06-13, 2024-08-04, 4, Jakarta, Hotel Indonesia Kempinski, suit, 8, 318080, 0.35, 0.8
2024-06-08, 2024-08-02, 1, Rio de Janeiro, Royal Rio Palace Hotel, executive, 1, 2100, 0.2, 0.75
2024-05-21, 2024-07-13, 8, Barselona, Hotel Arts Barcelona, deluxe, 2, 69440, 0.4, 1
2024-06-15, 2024-08-06, 10, Bali, Courtyard by Marriott Bali, suit, 1, 15300, 0.25, 0.55
2024-05-23, 2024-07-15, 2, Eskişehir, Divan Express Eskisehir, suit, 22, 168080, 0.4, 0.65
2024-05-17, 2024-07-11, 5, Auckland, Kiwi International Hotel, executive, 2, 14800, 0.25, 0.6000000000000001
2024-06-08, 2024-07-30, 8, Roma, Hassler Roma, suit, 21, 522480, 0.4, 1
2024-06-09, 2024-07-30, 2, Antalya, Grand Gulluk Hotel, executive, 1, 3340, 0.25, 0.45000000000000007
2024-05-30, 2024-07-20, 3, Los Angeles, Sheraton Grand Los Angeles, suit, 13, 95940, 0.2, 0.85
2024-05-21, 2024-07-12, 4, Amsterdam, Ibis Amsterdam Centre, large, 6, 22080, 0.2, 0.6000000000000001
2024-05-21, 2024-07-10, 13, Auckland, Ibis Budget Auckland Central, deluxe, 2, 36660, 0.15000000000000002, 0.30000000000000004
2024-06-21, 2024-08-10, 13, Doha, Holiday Inn Doha, executive, 2, 72020, 0.30000000000000004, 0.4
2024-06-18, 2024-08-09, 6, Melbourne, The Langham, executive, 3, 62460, 0.35, 0.65
2024-05-26, 2024-07-18, 3, Paris, Shangri-La Hotel Paris, suit, 4, 119040, 0.4, 1
2024-06-13, 2024-08-07, 1, Cape Town, The Table Bay Hotel, standard, 13, 61230, 0.4, 0.95
2024-05-31, 2024-07-20, 1, Roma, Hotel de Russie, standard, 10, 60700, 0.3, 1
2024-06-04, 2024-07-29, 1, Moskova, Four Seasons Hotel Moscow, large, 2, 10220, 0.3, 0.8
2024-06-13, 2024-08-03, 4, Tokyo, Shibuya Excel Hotel Tokyu, standard, 30, 216000, 0.35000000000000003, 0.85
2024-06-07, 2024-07-30, 2, Hong Kong, Regal Hongkong Hotel, executive, 2, 10720, 0.2, 0.55
2024-05-25, 2024-07-17, 9, Los Angeles, The Ritz-Carlton, deluxe, 2, 32040, 0.4, 1
2024-06-07, 2024-07-27, 1, Mexico City, St. Regis Mexico City, deluxe, 13, 44460, 0.4, 0.8
2024-06-02, 2024-07-25, 11, Ankara, Swissotel Ankara, standard, 5, 123750, 0.35, 0.65
2024-05-19, 2024-07-12, 2, Mexico City, Hilton Mexico City, large, 33, 279180, 0.35000000000000003, 0.85
2024-06-10, 2024-07-30, 1, Muğla, Yacht Classic Hotel, executive, 2, 5620, 0.35000000000000003, 0.7
2024-06-11, 2024-07-31, 3, Madrid, Hotel Ritz Madrid, standard, 7, 51450, 0.35, 1
2024-05-28, 2024-07-18, 3, Sao Paulo, Normandie Design Hotel, standard, 2, 4080, 0.2, 0.30000000000000004
2024-06-14, 2024-08-07, 1, Paris, Hotel Opera Cadet, executive, 2, 3520, 0.15000000000000002, 0.6000000000000001
2024-06-20, 2024-08-09, 7, Viyana, The Ritz-Carlton, deluxe, 1, 17990, 0.4, 1
2024-06-13, 2024-08-06, 4, Auckland, Ibis Budget Auckland Central, deluxe, 2, 11520, 0.15000000000000002, 0.30000000000000004
2024-05-21, 2024-07-13, 14, Melbourne, The Savoy Hotel, executive, 2, 77840, 0.25, 0.85
2024-05-28, 2024-07-22, 1, Cape Town, The Table Bay Hotel, suit, 4, 34840, 0.4, 0.95
2024-05-29, 2024-07-22, 1, Moskova, Holiday Inn Moscow, executive, 2, 4420, 0.30000000000000004, 0.85
2024-06-02, 2024-07-27, 4, Moskova, Mercure Moscow Baumanskaya, standard, 1, 7160, 0.25, 0.4
2024-06-08, 2024-08-01, 2, Dubai, Burj Al Arab, suit, 15, 97200, 0.25, 0.8
2024-06-01, 2024-07-23, 2, Mersin, Hilton Mersin, deluxe, 3, 19020, 0.3, 1
2024-05-30, 2024-07-24, 7, Mersin, Radisson Blu Hotel, deluxe, 3, 54180, 0.25, 1
2024-06-13, 2024-08-07, 1, Mersin, Atlıhan Hotel, large, 1, 2960, 0.25, 0.55
2024-06-14, 2024-08-07, 5, Cape Town, Southern Sun The Cullinan, standard, 11, 53900, 0.35000000000000003, 0.85
2024-05-18, 2024-07-12, 10, Amsterdam, InterContinental Amstel Amsterdam, deluxe, 1, 81000, 0.35, 1
2024-06-08, 2024-07-30, 2, Muğla, Hotel Dort Mevsim, suit, 3, 10560, 0.25, 0.45000000000000007
2024-06-12, 2024-08-05, 11, Sydney, Novotel Sydney Central, large, 5, 226050, 0.25, 0.85
2024-05-24, 2024-07-14, 4, Trabzon, Novotel Trabzon, standard, 2, 33920, 0.4, 0.95
2024-06-08, 2024-07-31, 2, Auckland, Ibis Budget Auckland Central, suit, 1, 3660, 0.15000000000000002, 0.30000000000000004
2024-06-13, 2024-08-06, 10, Pekin, The Peninsula Beijing, deluxe, 1, 49200, 0.4, 0.8
2024-06-02, 2024-07-26, 2, Bursa, Almira Hotel, executive, 3, 15120, 0.4, 1
2024-06-18, 2024-08-10, 5, Mumbai, Hotel Bawa International, standard, 1, 2850, 0.2, 0.30000000000000004
2024-05-19, 2024-07-10, 4, Barselona, H10 Casanova, deluxe, 2, 50800, 0.25, 0.7
2024-06-19, 2024-08-08, 11, Pekin, King’s Joy Hotel, executive, 1, 14850, 0.30000000000000004, 0.6000000000000001
2024-05-22, 2024-07-13, 5, Sao Paulo, Hotel Unique Sao Paulo, suit, 1, 13500, 0.25, 1
2024-06-09, 2024-07-29, 4, Antalya, Ramada Plaza Antalya, deluxe, 1, 5680, 0.2, 0.85
2024-05-22, 2024-07-16, 9, Milano, Uptown Palace, standard, 2, 45180, 0.35000000000000003, 0.7
2024-06-10, 2024-08-03, 13, Rio de Janeiro, Arena Copacabana Hotel, standard, 5, 271050, 0.25, 0.4
2024-05-22, 2024-07-12, 6, Ankara, Sheraton Ankara, executive, 2, 29160, 0.25, 1
2024-05-19, 2024-07-11, 3, Kuala Lumpur, Hotel Sentral Kuala Lumpur, standard, 11, 24090, 0.25, 0.30000000000000004
2024-06-12, 2024-08-01, 2, Pekin, Holiday Inn Express Beijing Dongzhimen, standard, 5, 18900, 0.2, 0.85
2024-06-19, 2024-08-08, 2, Bangkok, Amari Watergate Bangkok, executive, 2, 6400, 0.25, 0.55
2024-05-27, 2024-07-16, 2, Trabzon, TS Gold Hotel, deluxe, 2, 11000, 0.30000000000000004, 0.85
2024-05-30, 2024-07-24, 7, Prag, Hotel Clement, large, 2, 12040, 0.15000000000000002, 0.75
2024-06-05, 2024-07-29, 12, Milano, Uptown Palace, large, 1, 32400, 0.35000000000000003, 0.7
2024-06-08, 2024-08-02, 5, Mumbai, Trident Nariman Point, deluxe, 5, 54500, 0.2, 0.55
2024-06-09, 2024-07-29, 4, Delhi, Bloomrooms @ New Delhi Railway Station, large, 7, 17080, 0.2, 0.6000000000000001
2024-06-10, 2024-07-31, 2, Auckland, President Hotel, suit, 10, 19800, 0.15000000000000002, 0.75
2024-06-11, 2024-08-03, 1, Seul, The Plaza Seoul, standard, 2, 5220, 0.35000000000000003, 1
2024-06-05, 2024-07-30, 1, Eskişehir, Grand Namli Hotel, large, 8, 17040, 0.30000000000000004, 0.7
2024-06-16, 2024-08-10, 4, Las Vegas, New York-New York Hotel & Casino, deluxe, 4, 99200, 0.30000000000000004, 0.4
2024-05-21, 2024-07-13, 11, Londra, Claridge's, standard, 1, 31350, 0.3, 0.5
2024-06-08, 2024-07-31, 3, Dubai, Premier Inn Dubai, large, 8, 13440, 0.2, 0.75
2024-05-21, 2024-07-15, 3, Mumbai, ITC Maratha, large, 3, 31320, 0.30000000000000004, 0.85
2024-06-19, 2024-08-09, 1, Sydney, Shangri-La Hotel Sydney, standard, 28, 104440, 0.35, 0.8
2024-06-12, 2024-08-02, 2, Sydney, Novotel Sydney Central, executive, 2, 11160, 0.25, 0.85
2024-05-20, 2024-07-13, 2, Amsterdam, Mövenpick Hotel Amsterdam City Centre, standard, 2, 11920, 0.25, 0.85
2024-05-30, 2024-07-22, 13, Barselona, Hotel Praktik Rambla, deluxe, 8, 152880, 0.25, 0.45000000000000007
2024-05-27, 2024-07-20, 4, Trabzon, Zorlu Grand Hotel, large, 2, 11760, 0.35000000000000003, 0.55
2024-06-09, 2024-07-29, 1, Sydney, Metro Hotel Marlow Sydney Central, suit, 1, 1040, 0.30000000000000004, 0.45000000000000007
2024-06-17, 2024-08-07, 11, Prag, Ibis Praha Old Town, executive, 2, 36300, 0.30000000000000004, 0.30000000000000004
2024-06-11, 2024-08-01, 9, Viyana, Palais Hansen Kempinski, standard, 1, 21060, 0.25, 0.5
2024-06-04, 2024-07-26, 1, Londra, Premier Inn London, deluxe, 1, 5290, 0.25, 0.30000000000000004
2024-06-04, 2024-07-24, 4, Moskova, Holiday Inn Moscow, standard, 2, 13120, 0.30000000000000004, 0.85
2024-05-31, 2024-07-23, 6, Milano, Hotel Berna, suit, 1, 36000, 0.25, 0.45000000000000007
2024-05-28, 2024-07-21, 2, Dubai, Hilton Garden Inn Dubai, standard, 2, 6200, 0.35000000000000003, 1
2024-05-21, 2024-07-11, 4, Adana, Divan Adana, standard, 18, 160560, 0.35, 0.65
2024-06-16, 2024-08-10, 2, Adana, Hotel Seyhan, large, 3, 15600, 0.2, 0.55
2024-06-10, 2024-07-31, 10, Miami, Fontainebleau Miami Beach, executive, 2, 33600, 0.3, 0.5
2024-05-19, 2024-07-11, 1, Singapur, York Hotel Singapore, executive, 2, 4640, 0.2, 0.4
2024-06-19, 2024-08-10, 2, Bursa, Marriott Bonvoy, suit, 2, 5600, 0.25, 0.30000000000000004
2024-05-18, 2024-07-12, 5, Bangkok, Red Planet Bangkok, large, 15, 43500, 0.2, 0.6000000000000001
2024-05-29, 2024-07-23, 5, Mumbai, The St. Regis Mumbai, suit, 1, 31600, 0.30000000000000004, 1
2024-06-09, 2024-08-02, 3, Madrid, Hotel Nuevo Boston, suit, 9, 280800, 0.35000000000000003, 0.55
2024-05-22, 2024-07-15, 6, Gaziantep, Dedeman Park Gaziantep, suit, 4, 35520, 0.30000000000000004, 0.55
2024-06-10, 2024-08-04, 2, Muğla, D-Resort Gocek, executive, 2, 15720, 0.25, 0.65
2024-06-08, 2024-08-02, 5, Antalya, Ramada Plaza Antalya, executive, 1, 9550, 0.2, 0.85
2024-05-17, 2024-07-10, 13, Las Vegas, Excalibur Hotel, deluxe, 11, 148720, 0.30000000000000004, 0.30000000000000004
2024-06-11, 2024-08-02, 1, Las Vegas, New York-New York Hotel & Casino, standard, 3, 4350, 0.30000000000000004, 0.4
2024-06-12, 2024-08-02, 1, Viyana, Star Inn Hotel Wien, large, 3, 2850, 0.2, 0.30000000000000004
2024-05-28, 2024-07-17, 1, Nairobi, The Sarova Stanley, large, 1, 3920, 0.4, 1
2024-05-31, 2024-07-20, 1, Mexico City, St. Regis Mexico City, suit, 1, 3370, 0.4, 0.8
2024-05-22, 2024-07-12, 1, Muğla, Montana Pine Resort, large, 2, 8100, 0.35000000000000003, 0.55
2024-06-19, 2024-08-10, 4, Delhi, Hotel City Star, deluxe, 8, 48000, 0.15000000000000002, 0.45000000000000007
2024-05-31, 2024-07-22, 6, Cairo, The Nile Ritz-Carlton Cairo, standard, 2, 57720, 0.4, 0.65
2024-06-07, 2024-07-29, 5, Amsterdam, DoubleTree by Hilton Amsterdam, deluxe, 2, 22700, 0.30000000000000004, 1
2024-05-31, 2024-07-22, 1, Las Vegas, Treasure Island, standard, 9, 10620, 0.30000000000000004, 0.7
2024-05-25, 2024-07-17, 9, Prag, Art Deco Imperial Hotel, suit, 2, 31860, 0.25, 0.7
2024-05-19, 2024-07-11, 1, Paris, Four Seasons Hotel George V, large, 10, 42100, 0.25, 1
2024-05-19, 2024-07-10, 4, Antalya, SunAnatolia Otel, large, 2, 18400, 0.2, 0.30000000000000004
2024-06-02, 2024-07-26, 2, Cape Town, One&Only Cape Town, suit, 1, 7580, 0.4, 0.8
2024-05-29, 2024-07-19, 13, Trabzon, Zorlu Grand Hotel, deluxe, 8, 157040, 0.35000000000000003, 0.55
2024-05-29, 2024-07-23, 4, Roma, Hassler Roma, standard, 1, 19000, 0.4, 1
2024-06-03, 2024-07-27, 5, Doha, Premier Inn Doha Education City, standard, 1, 3550, 0.2, 0.75
2024-05-31, 2024-07-23, 4, Aydın, Ilayda Avantgarde, suit, 2, 13760, 0.2, 0.45000000000000007
2024-05-25, 2024-07-17, 6, Bangkok, Red Planet Bangkok, suit, 3, 15120, 0.2, 0.6000000000000001
2024-06-01, 2024-07-24, 3, Mersin, Egemen Hotel, executive, 1, 6810, 0.25, 0.75
2024-06-10, 2024-08-04, 15, Madrid, Hotel Nuevo Boston, standard, 9, 612900, 0.35000000000000003, 0.55
2024-06-08, 2024-07-31, 2, Hong Kong, Hotel Sav Hong Kong, standard, 1, 7100, 0.30000000000000004, 0.75
2024-06-13, 2024-08-03, 2, Buenos Aires, Hotel Pulitzer Buenos Aires, suit, 1, 5040, 0.2, 0.55
2024-06-03, 2024-07-28, 1, Londra, The Ritz London, standard, 3, 13350, 0.35, 1
2024-06-07, 2024-08-01, 14, Mexico City, Hotel Amigo Suites, large, 3, 164640, 0.25, 0.6000000000000001
2024-06-06, 2024-07-27, 3, Nevşehir, Kayakapi Premium Caves, deluxe, 5, 34200, 0.25, 0.65
2024-05-24, 2024-07-17, 1, Cairo, Pyramids View Inn, executive, 3, 6060, 0.2, 0.6000000000000001
2024-06-03, 2024-07-24, 3, Mumbai, The Oberoi Mumbai, suit, 1, 17160, 0.25, 0.8
2024-05-27, 2024-07-20, 4, Dubai, Premier Inn Dubai, standard, 4, 7040, 0.2, 0.75
2024-06-07, 2024-08-01, 2, Kuala Lumpur, Mandarin Oriental Kuala Lumpur, standard, 15, 122100, 0.3, 0.65
2024-05-21, 2024-07-12, 10, Delhi, The Metropolitan Hotel & Spa New Delhi, large, 8, 344800, 0.30000000000000004, 0.7
2024-06-20, 2024-08-10, 8, Jakarta, The Ritz-Carlton Jakarta, deluxe, 10, 441600, 0.4, 0.8
2024-06-01, 2024-07-25, 5, Adana, Sheraton Grand Adana, suit, 4, 91600, 0.4, 1
2024-06-05, 2024-07-27, 14, Şanghay, Mandarin Oriental Pudong, standard, 2, 83720, 0.3, 0.5
2024-06-13, 2024-08-04, 5, Dubai, Jumeirah Beach Hotel, deluxe, 1, 15700, 0.3, 1
2024-05-21, 2024-07-15, 2, Gaziantep, Dedeman Park Gaziantep, executive, 2, 6880, 0.30000000000000004, 0.55
2024-06-17, 2024-08-08, 1, Riyadh, The Ritz-Carlton Riyadh, deluxe, 5, 21600, 0.35, 0.5
2024-06-01, 2024-07-23, 1, Nevşehir, Peri Cave Hotel, standard, 4, 2080, 0.25, 0.30000000000000004
2024-06-03, 2024-07-23, 7, Gaziantep, Yunus Hotel, deluxe, 2, 18200, 0.25, 0.6000000000000001
2024-06-19, 2024-08-10, 2, Nevşehir, Museum Hotel, standard, 3, 29400, 0.4, 0.95
2024-05-26, 2024-07-17, 2, Pekin, The Peninsula Beijing, deluxe, 36, 279360, 0.4, 0.8
2024-06-12, 2024-08-03, 1, Eskişehir, Ibis Eskisehir, suit, 5, 9450, 0.2, 0.75
2024-06-11, 2024-08-04, 2, Şanlıurfa, El Ruha Hotel, deluxe, 8, 70080, 0.3, 0.8
2024-06-13, 2024-08-02, 1, Şanlıurfa, El Ruha Hotel, deluxe, 1, 3460, 0.3, 0.8
2024-06-02, 2024-07-26, 2, Ankara, Alfin Otel, executive, 1, 3620, 0.25, 0.45000000000000007
2024-05-17, 2024-07-10, 8, Cairo, Conrad Cairo, large, 1, 8400, 0.35000000000000003, 0.55
2024-05-23, 2024-07-16, 12, Konya, Ramada Plaza Konya, suit, 2, 31200, 0.35000000000000003, 0.55
2024-05-21, 2024-07-11, 2, Jakarta, Hotel Borobudur Jakarta, deluxe, 1, 2740, 0.35000000000000003, 0.4
2024-05-20, 2024-07-11, 1, Şanlıurfa, Hilton Garden Inn, suit, 5, 7150, 0.30000000000000004, 0.75
2024-06-01, 2024-07-22, 1, Trabzon, Novotel Trabzon, executive, 2, 5340, 0.4, 0.95
2024-05-24, 2024-07-13, 2, Pekin, Rosewood Beijing, standard, 2, 24720, 0.4, 1
2024-06-12, 2024-08-04, 4, Muğla, Eskici Hostel, deluxe, 4, 19200, 0.2, 0.6000000000000001
2024-05-26, 2024-07-16, 6, Barselona, Hotel Arts Barcelona, large, 1, 19080, 0.4, 1
2024-05-21, 2024-07-12, 2, Bursa, Green Prusa Hotel, large, 5, 9200, 0.25, 0.45000000000000007
2024-05-31, 2024-07-24, 1, Auckland, Grand Millennium Auckland, executive, 1, 7350, 0.35000000000000003, 0.7
2024-05-22, 2024-07-11, 12, Cape Town, Protea Hotel Fire & Ice, suit, 6, 129600, 0.2, 0.85
2024-06-20, 2024-08-09, 2, Aydın, Sezgin Hotel, standard, 2, 4400, 0.25, 0.45000000000000007
2024-06-02, 2024-07-27, 3, Trabzon, Fengo Hotel, large, 1, 7170, 0.30000000000000004, 0.7
2024-06-12, 2024-08-05, 1, Dubai, Atlantis The Palm, large, 1, 3050, 0.4, 0.95
2024-06-05, 2024-07-27, 5, Nairobi, Ibis Styles Nairobi Westlands, deluxe, 1, 4400, 0.15000000000000002, 0.45000000000000007
2024-06-11, 2024-08-02, 6, Hong Kong, Four Seasons Hotel Hong Kong, suit, 14, 286440, 0.3, 1
2024-05-30, 2024-07-23, 1, Sydney, Rydges Sydney Central, deluxe, 2, 9620, 0.2, 0.7
2024-06-18, 2024-08-09, 2, Eskişehir, The Merlot Hotel, large, 2, 9600, 0.30000000000000004, 0.55
2024-06-14, 2024-08-05, 11, New York, Pod 51 Hotel, executive, 1, 20900, 0.25, 0.6000000000000001
2024-05-25, 2024-07-16, 8, Viyana, The Ritz-Carlton, executive, 1, 15600, 0.4, 1
2024-05-30, 2024-07-23, 1, Cairo, Conrad Cairo, suit, 4, 4840, 0.35000000000000003, 0.55
2024-06-15, 2024-08-06, 1, Londra, Premier Inn London, suit, 4, 6600, 0.25, 0.30000000000000004
2024-06-15, 2024-08-05, 15, Cairo, Steigenberger Hotel El Tahrir, standard, 2, 42600, 0.2, 0.55
2024-05-22, 2024-07-12, 2, Mexico City, Hilton Mexico City, large, 2, 16920, 0.35000000000000003, 0.85
2024-05-22, 2024-07-14, 1, Londra, Ibis London City, deluxe, 5, 4050, 0.25, 0.30000000000000004
2024-06-07, 2024-07-30, 3, New York, The Plaza Hotel, large, 39, 372060, 0.3, 1
2024-06-04, 2024-07-26, 1, Madrid, Hotel Mayorazgo, standard, 28, 56000, 0.35000000000000003, 0.7
2024-05-24, 2024-07-15, 12, Nairobi, Hotel Central Park, deluxe, 2, 17280, 0.15000000000000002, 0.75
2024-06-01, 2024-07-25, 4, Singapur, Marina Bay Sands, executive, 3, 40680, 0.4, 0.65
2024-06-19, 2024-08-10, 2, Şanlıurfa, Aslan Hotel, large, 8, 14560, 0.25, 0.45000000000000007
2024-05-18, 2024-07-12, 4, Bursa, Ramada Bursa Cekirge, standard, 2, 13360, 0.25, 0.4
2024-05-25, 2024-07-17, 12, Paris, Mercure Paris Centre Tour Eiffel, deluxe, 1, 18960, 0.35000000000000003, 1
2024-06-15, 2024-08-07, 2, Eskişehir, Tasigo Hotels Eskisehir, standard, 10, 60800, 0.4, 0.95
2024-06-02, 2024-07-24, 1, Mersin, Divan Mersin, deluxe, 3, 16410, 0.3, 1
2024-06-06, 2024-07-26, 15, Şanghay, Shanghai Fish Inn Bund, suit, 5, 139500, 0.15000000000000002, 0.75
2024-05-26, 2024-07-18, 4, Aydın, Korumar Ephesus Beach, suit, 1, 18480, 0.3, 1
2024-06-04, 2024-07-24, 8, Madrid, Gran Melia Palacio de los Duques, suit, 8, 146560, 0.3, 1
2024-06-12, 2024-08-03, 8, İzmir, Renaissance Izmir Hotel, suit, 9, 355680, 0.35, 0.5
2024-06-04, 2024-07-25, 12, Eskişehir, The Merlot Hotel, deluxe, 9, 214920, 0.30000000000000004, 0.55
2024-06-08, 2024-08-02, 2, Viyana, Hotel Am Konzerthaus, large, 11, 130240, 0.30000000000000004, 1
2024-05-28, 2024-07-22, 3, Johannesburg, The Michelangelo Hotel, executive, 2, 11520, 0.4, 0.5
2024-05-28, 2024-07-22, 1, Riyadh, Ibis Riyadh Olaya Street, standard, 3, 4410, 0.15000000000000002, 0.6000000000000001
2024-06-14, 2024-08-07, 3, Adana, Divan Adana, deluxe, 1, 7500, 0.35, 0.65
2024-05-19, 2024-07-10, 1, Mexico City, Hotel Castropol, standard, 10, 7400, 0.15000000000000002, 0.75
2024-05-23, 2024-07-16, 2, Bali, The Stones Hotel - Legian Bali, deluxe, 12, 18960, 0.35000000000000003, 0.7
2024-06-09, 2024-07-30, 10, Buenos Aires, Faena Hotel Buenos Aires, standard, 15, 447000, 0.25, 0.5
2024-06-10, 2024-08-01, 1, Moskova, The Ritz-Carlton Moscow, executive, 4, 9320, 0.25, 1
2024-06-19, 2024-08-10, 1, Auckland, Kiwi International Hotel, large, 6, 16680, 0.25, 0.6000000000000001
2024-06-03, 2024-07-27, 1, Eskişehir, The Merlot Hotel, suit, 5, 13550, 0.30000000000000004, 0.55
2024-05-31, 2024-07-23, 1, Buenos Aires, Hotel Costa Rica, large, 18, 14760, 0.30000000000000004, 0.45000000000000007
2024-05-21, 2024-07-12, 5, Mumbai, ITC Maratha, standard, 13, 209950, 0.30000000000000004, 0.85
2024-06-12, 2024-08-05, 1, Trabzon, Zorlu Grand Hotel, large, 1, 1450, 0.35000000000000003, 0.55
2024-05-23, 2024-07-16, 4, Bangkok, The Peninsula Bangkok, executive, 1, 13040, 0.4, 1
2024-05-26, 2024-07-20, 4, Singapur, Holiday Inn Singapore Orchard City Centre, large, 1, 14280, 0.25, 0.7
2024-06-11, 2024-08-04, 6, Pekin, Waldorf Astoria Beijing, executive, 1, 14280, 0.3, 0.65
2024-05-22, 2024-07-11, 2, Barselona, Hotel Praktik Rambla, suit, 9, 29160, 0.25, 0.45000000000000007
2024-06-01, 2024-07-25, 5, İzmir, Wyndham Grand Izmir Ozdilek, large, 1, 9350, 0.2, 0.7
2024-06-15, 2024-08-09, 1, Pekin, Park Plaza Beijing Wangfujing, standard, 8, 14800, 0.35000000000000003, 0.4
2024-06-02, 2024-07-26, 1, Mexico City, NH Collection Mexico City Reforma, suit, 1, 9570, 0.25, 1
2024-06-06, 2024-07-30, 3, Singapur, Raffles Hotel Singapore, executive, 1, 9420, 0.25, 0.65
2024-05-31, 2024-07-25, 5, Hong Kong, Holiday Inn Golden Mile, large, 7, 48650, 0.30000000000000004, 0.55
2024-06-02, 2024-07-26, 5, Nairobi, Villa Rosa Kempinski Nairobi, standard, 1, 19100, 0.4, 0.5
2024-05-25, 2024-07-19, 9, Cape Town, Hotel on St Georges, suit, 4, 51840, 0.15000000000000002, 0.6000000000000001
2024-06-16, 2024-08-06, 2, Bursa, Efehan Hotel, standard, 6, 7080, 0.25, 0.30000000000000004
2024-06-14, 2024-08-08, 8, Riyadh, Aloft Riyadh, suit, 4, 41600, 0.15000000000000002, 0.30000000000000004
2024-05-30, 2024-07-22, 3, Nevşehir, Stone House Cave Hotel, suit, 1, 5160, 0.35000000000000003, 0.4
2024-05-30, 2024-07-22, 14, Delhi, The Metropolitan Hotel & Spa New Delhi, deluxe, 6, 472920, 0.30000000000000004, 0.7
2024-05-23, 2024-07-14, 2, Hong Kong, Regal Hongkong Hotel, executive, 2, 11000, 0.2, 0.55
2024-05-19, 2024-07-11, 2, Eskişehir, Divan Express Eskisehir, suit, 8, 47840, 0.4, 0.65
2024-05-19, 2024-07-12, 6, Viyana, Hotel NH Wien City, executive, 2, 23640, 0.25, 1
2024-05-23, 2024-07-12, 1, Los Angeles, Sheraton Grand Los Angeles, standard, 5, 9750, 0.2, 0.85
2024-05-27, 2024-07-17, 2, Eskişehir, Park Dedeman Eskisehir, large, 6, 36840, 0.35, 1
2024-06-04, 2024-07-27, 7, Cairo, Ramses Hilton, large, 8, 114800, 0.35000000000000003, 0.85
2024-06-02, 2024-07-23, 6, Muğla, Hotel Dort Mevsim, suit, 3, 30960, 0.25, 0.45000000000000007
2024-05-30, 2024-07-21, 2, Şanlıurfa, Nevali Hotel, deluxe, 8, 51520, 0.25, 0.95
2024-06-05, 2024-07-26, 4, Gaziantep, Novotel, deluxe, 1, 8320, 0.25, 0.7
2024-06-14, 2024-08-06, 11, Miami, Marriott Miami Dadeland, large, 4, 56760, 0.25, 0.7
2024-06-16, 2024-08-09, 1, Nevşehir, Dere Suites, suit, 2, 4540, 0.30000000000000004, 0.55
2024-05-22, 2024-07-16, 1, Riyadh, Hilton Garden Inn Riyadh Olaya, deluxe, 4, 8920, 0.2, 0.55
2024-05-29, 2024-07-19, 6, Milano, Uptown Palace, large, 2, 33240, 0.35000000000000003, 0.7
2024-05-22, 2024-07-12, 9, New York, The Plaza Hotel, standard, 10, 284400, 0.3, 1
2024-06-19, 2024-08-09, 8, Moskova, Four Seasons Hotel Moscow, standard, 6, 248640, 0.3, 0.8
2024-05-31, 2024-07-21, 1, Madrid, Hotel Nuevo Boston, standard, 23, 43240, 0.35000000000000003, 0.55
2024-05-18, 2024-07-10, 1, Melbourne, The Savoy Hotel, large, 2, 3880, 0.25, 0.85
2024-05-23, 2024-07-17, 9, Delhi, The Leela Palace New Delhi, standard, 7, 197190, 0.35, 0.8
2024-05-27, 2024-07-17, 1, Prag, Hotel Paris Prague, deluxe, 9, 11880, 0.25, 0.7
2024-06-11, 2024-08-02, 1, Cairo, Pyramids View Inn, suit, 6, 11160, 0.2, 0.6000000000000001
2024-05-24, 2024-07-13, 3, Gaziantep, Dedeman Park Gaziantep, suit, 14, 73500, 0.30000000000000004, 0.55
2024-06-15, 2024-08-08, 6, Kuala Lumpur, Berjaya Times Square Hotel, standard, 2, 13800, 0.2, 0.7
